project_name,buildID,build_State,duplicatedCode,GodClass,GodMethod,CyclomaticComplexity,DataClass,File_Modified
gradle/gradle,36922408,1,0,0,0,0,0,2
gradle/gradle,38761026,1,0,0,0,0,0,0
gradle/gradle,21643450,1,0,0,0,0,0,1
gradle/gradle,47801328,0,0,0,0,0,0,0
gradle/gradle,23408724,1,0,0,0,0,0,1
gradle/gradle,23527581,1,0,0,0,0,0,7
gradle/gradle,43607970,0,0,0,0,0,0,0
gradle/gradle,48934726,1,0,0,0,0,0,0
gradle/gradle,49460820,1,0,0,0,0,0,1
gradle/gradle,52761784,1,0,0,0,0,0,32
gradle/gradle,61730208,1,0,0,0,0,0,1
gradle/gradle,44246011,1,0,0,0,0,0,1
gradle/gradle,53259531,0,0,0,0,0,0,1
gradle/gradle,46721996,1,0,0,0,0,0,0
gradle/gradle,29084308,1,0,0,0,0,0,0
gradle/gradle,38894671,0,0,0,0,0,0,2
gradle/gradle,39281686,1,0,0,0,0,0,0
gradle/gradle,21946790,1,0,0,0,0,0,0
gradle/gradle,22914191,1,0,0,0,0,0,7
gradle/gradle,30668392,1,0,0,0,0,0,10
gradle/gradle,30746981,1,0,0,0,0,0,1
gradle/gradle,23986630,1,0,0,0,0,0,0
gradle/gradle,25148810,1,0,0,0,0,0,0
gradle/gradle,59603768,0,0,0,0,0,0,0
gradle/gradle,53271326,1,0,0,0,0,0,1
gradle/gradle,49794450,1,0,0,0,0,0,0
gradle/gradle,27462367,1,0,0,0,0,0,3
gradle/gradle,45819427,1,0,0,0,0,0,4
gradle/gradle,46028518,1,0,0,0,0,0,0
gradle/gradle,37838885,0,0,0,0,0,0,0
gradle/gradle,21208714,1,0,2,1,2,0,60
gradle/gradle,38562063,1,0,0,0,0,0,0
gradle/gradle,30029359,1,0,0,0,0,0,12
gradle/gradle,31198164,1,0,0,0,0,0,0
gradle/gradle,42784055,1,0,0,0,0,0,6
gradle/gradle,42868094,1,0,0,0,0,0,1
gradle/gradle,32338340,1,0,0,0,0,0,0
gradle/gradle,34696490,1,0,0,0,0,0,1
gradle/gradle,53772206,1,0,0,0,0,0,1
gradle/gradle,47165264,1,0,0,0,0,0,9
gradle/gradle,47244681,1,0,0,0,0,0,1
gradle/gradle,50301745,1,0,0,0,0,0,2
gradle/gradle,50908653,1,0,0,0,0,0,1
gradle/gradle,56521592,1,0,0,0,0,0,1
gradle/gradle,61581050,1,0,0,0,0,0,4
gradle/gradle,35738535,1,0,0,0,0,0,2
gradle/gradle,41157611,1,0,0,0,0,0,1
gradle/gradle,33042668,1,0,0,0,0,0,3
