buildID,build_Failed,duplicatedCode,GodClass,GodMethod,CyclomaticComplexity,DataClass
142870641,1,20,21,28,66,76
143058094,0,20,21,28,66,76
143072322,0,20,21,28,66,76
151641403,0,21,22,30,72,77
152397049,0,21,22,30,72,77
154158310,0,0,0,0,0,0
154191228,1,21,22,30,72,78
154870819,1,0,0,0,0,0
126451774,0,0,0,0,0,0
130866221,0,20,21,28,64,76
111066271,0,0,0,0,0,0
111863985,1,5,18,25,64,71
112618241,0,0,0,0,0,0
135876502,0,20,21,28,65,76
135932324,0,0,0,0,0,0
136255527,0,0,0,0,0,0
114252771,0,5,18,25,64,71
114528260,1,0,0,0,0,0
138122915,0,20,21,28,65,76
139280003,0,20,21,28,65,76
118254776,0,0,0,0,0,0
118265555,0,19,20,26,62,73
141661710,0,20,21,28,66,76
143046036,1,20,21,28,66,76
143951860,0,20,21,28,66,76
