buildID,build_Failed,duplicatedCode,GodClass,GodMethod,CyclomaticComplexity,DataClass
123412200,0,19,20,27,62,73
145038444,0,0,0,0,0,0
123437370,0,0,0,0,0,0
154859080,1,0,0,0,0,0
127605904,0,20,21,26,65,76
130565678,0,20,21,26,64,76
131236425,0,0,0,0,0,0
110187805,0,0,0,0,0,0
135683470,1,0,0,0,0,0
112014569,1,0,0,0,0,0
135870802,0,20,21,28,65,76
137875724,0,20,21,28,65,76
114270592,1,19,19,27,66,73
115911887,0,14,19,25,65,72
116956715,0,14,19,25,66,75
138404867,0,21,21,29,68,77
120159823,0,19,20,26,62,73
143926734,0,20,21,28,66,76
146384359,0,20,21,28,66,76
130865838,0,20,21,27,64,76
130923320,0,0,0,0,0,0
131414865,1,0,0,0,0,0
131751490,0,20,21,28,65,76
131783624,1,20,21,28,65,76
109626984,0,0,0,0,0,0
111080582,0,5,18,25,64,71
112594005,0,0,0,0,0,0
112857944,0,0,0,0,0,0
135950231,0,0,0,0,0,0
116914337,0,0,0,0,0,0
119334401,0,19,20,26,62,73
140036059,0,20,21,28,65,76
144526890,0,20,21,28,66,76
151636225,0,21,22,30,72,77
151901981,1,21,22,30,72,78
154780335,0,21,22,30,72,78
118319123,1,14,19,24,61,72
119087566,0,14,19,24,61,72
142823232,0,20,21,28,66,76
144998001,0,21,21,29,69,77
145115243,0,20,21,28,66,76
146409417,1,0,0,0,0,0
147858235,0,21,21,29,69,76
150720030,0,21,22,30,72,77
150994556,0,0,0,0,0,0
153388737,1,21,22,30,72,78
154820605,1,21,22,30,72,80
110466604,0,5,18,25,64,71
111269000,0,0,0,0,0,0
111309220,0,5,18,25,64,71
135668117,0,0,0,0,0,0
112888810,0,0,0,0,0,0
135922740,0,20,21,28,65,76
137266214,0,21,21,29,68,77
115948906,0,5,18,25,64,71
116909788,0,0,0,0,0,0
117466416,0,14,19,24,61,72
138084062,0,20,21,28,65,76
139310625,0,21,21,29,69,77
118028095,1,0,0,0,0,0
118038062,0,14,19,24,61,72
143332819,0,20,21,28,66,76
144812734,0,20,21,28,66,76
145555704,0,20,21,28,66,76
145562180,0,20,21,28,66,76
148895848,0,20,21,28,66,76
151596491,0,21,22,30,72,77
154745257,0,21,22,30,72,78
128076317,1,20,21,26,65,76
128858165,0,20,21,26,64,76
128931035,0,19,20,26,63,73
130585550,0,0,0,0,0,0
109667762,0,0,0,0,0,0
111076998,0,0,0,0,0,0
112061365,0,0,0,0,0,0
112699728,0,14,19,25,65,72
112918020,0,18,19,27,66,73
113678346,1,14,19,25,65,72
119233693,1,19,20,26,62,73
141712997,0,20,21,28,66,76
146166723,0,0,0,0,0,0
151329823,0,21,22,30,72,77
156017967,0,21,22,30,72,80
131769160,0,20,21,28,65,76
113239137,1,18,20,27,66,73
119645494,1,19,20,26,62,73
120150179,0,0,0,0,0,0
141685508,1,21,21,29,64,76
141732304,0,20,21,28,66,76
144737095,1,20,21,28,66,76
149192869,0,20,21,28,66,76
151798748,0,21,22,30,72,77
152724316,0,0,0,0,0,0
109887106,0,0,0,0,0,0
111578908,0,14,19,25,65,72
113191779,0,0,0,0,0,0
113484794,0,0,0,0,0,0
116627544,0,14,19,25,66,75
138163413,0,20,21,28,65,76
142870706,0,20,21,28,66,76
121224970,0,0,0,0,0,0
143115273,0,20,21,28,66,76
145072088,0,20,21,28,66,76
146410618,1,21,21,29,70,77
127241558,1,0,0,0,0,0
127615115,1,0,0,0,0,0
130882231,0,20,21,28,64,76
113507428,0,0,0,0,0,0
136140750,1,20,21,28,66,76
136266346,0,20,21,28,66,76
137891896,0,20,21,28,65,76
120069488,0,0,0,0,0,0
144814868,0,20,21,28,66,76
149556986,1,0,0,0,0,0
151298428,0,21,22,30,72,77
125626024,1,0,0,0,0,0
129463047,1,20,21,26,64,76
131787204,0,20,21,28,65,76
132169493,0,20,21,28,65,76
136433901,0,20,21,28,66,76
116479914,0,14,19,25,65,72
142858743,0,20,21,28,66,76
143146238,0,20,21,28,66,76
144543177,0,20,21,28,66,76
149490303,0,0,0,0,0,0
